match_id,kills,deaths,player_slot,hero_id,start_time,duration,first_blood_time,leagueid,game_mode,last_hits,xp_per_min,denies,radiant_win,gold_per_min,cluster,assists,lobby_type,leaver_status,kd_ratio,picks_bans
3053852703,"{0,0,1,0,2,3,8,4,6,4}","{7,4,4,5,5,1,0,1,0,2}","{0,1,2,3,4,128,129,130,131,132}","{87,11,78,50,70,102,106,37,63,107}",1489445250,1588,225,5157,2,"{14,202,89,52,109,176,118,72,128,13}","{155,458,256,243,271,516,534,333,502,262}","{1,14,3,1,3,7,1,2,6,0}",f,"{151,462,289,222,318,573,499,405,525,288}",121,"{3,3,2,1,0,12,12,12,9,10}",1,"{0,0,0,0,0,0,0,0,0,0}","{0,0,0.25,0,0.4,3,8,4,6,2}",
3054282641,"{2,1,4,1,8,0,5,5,11,12}","{5,10,7,9,3,5,4,3,4,1}","{0,1,2,3,4,128,129,130,131,132}","{90,106,65,88,54,50,28,107,70,11}",1489474719,3050,188,5157,2,"{254,384,122,27,320,48,155,30,237,567}","{380,542,351,273,421,297,543,412,507,542}","{1,3,10,2,20,4,6,1,4,12}",f,"{379,518,295,213,503,235,420,288,483,792}",224,"{10,13,11,9,8,18,22,20,15,8}",1,"{0,0,0,0,0,0,0,0,0,0}","{0.4,0.1,0.57142857142857,0.11111111111111,2.6666666666667,0,1.25,1.6666666666667,2.75,12}",
3054390158,"{2,10,5,1,13,1,2,0,4,8}","{3,2,6,3,1,6,4,10,6,5}","{0,1,2,3,4,128,129,130,131,132}","{37,17,16,28,80,90,65,20,104,109}",1489479803,2840,75,5157,2,"{52,407,140,17,389,168,148,30,151,441}","{433,581,427,408,581,269,329,257,377,406}","{1,11,2,4,15,1,7,1,8,4}",t,"{295,664,358,239,667,317,306,180,325,607}",224,"{19,13,10,22,11,9,9,9,5,3}",1,"{0,0,0,0,0,0,0,0,0,0}","{0.66666666666667,5,0.83333333333333,0.33333333333333,13,0.16666666666667,0.5,0,0.66666666666667,1.6}",
3054488401,"{0,3,4,1,8,1,2,3,7,2}","{4,5,1,4,2,2,4,7,1,3}","{0,1,2,3,4,128,129,130,131,132}","{85,11,96,37,20,87,28,107,106,8}",1489484049,1444,170,5157,2,"{22,169,84,41,116,43,76,21,91,134}","{239,380,395,222,507,273,316,178,406,423}","{4,28,1,2,17,3,2,1,1,27}",t,"{275,583,423,307,553,268,329,199,410,446}",224,"{12,12,8,11,7,12,6,10,6,10}",1,"{0,0,1,0,0,0,0,0,0,0}","{0,0.6,4,0.25,4,0.5,0.5,0.42857142857143,7,0.66666666666667}",
3054091065,"{4,5,3,7,12,3,2,7,6,0}","{4,3,3,5,3,6,10,6,3,6}","{0,1,2,3,4,128,129,130,131,132}","{84,54,16,87,11,32,28,34,109,50}",1489464286,2706,159,5157,2,"{20,244,153,61,391,39,97,362,369,61}","{337,521,430,369,609,277,314,468,388,209}","{0,7,3,0,8,0,5,12,5,10}",t,"{307,560,403,363,727,220,277,506,531,200}",224,"{14,13,17,17,7,12,11,4,11,6}",1,"{0,0,0,0,0,0,0,0,0,0}","{1,1.6666666666667,1,1.4,4,0.5,0.2,1.1666666666667,2,0}",
3054171170,"{2,2,6,2,2,1,1,2,8,15}","{6,7,4,6,4,3,5,3,2,1}","{0,1,2,3,4,128,129,130,131,132}","{28,65,74,42,37,87,32,97,106,54}",1489468861,1949,156,5157,2,"{28,97,274,175,41,22,47,129,169,182}","{240,327,575,373,283,388,337,434,627,554}","{2,1,28,21,5,2,1,0,0,11}",f,"{230,285,589,392,228,270,278,361,492,594}",224,"{3,7,4,7,6,18,19,11,12,5}",1,"{0,0,0,0,0,0,0,0,0,0}","{0.33333333333333,0.28571428571429,1.5,0.33333333333333,0.5,0.33333333333333,0.2,0.66666666666667,4,15}",
3053856433,"{3,2,5,0,7,2,2,2,1,1}","{2,0,1,3,2,5,3,2,3,4}","{0,1,2,3,4,128,129,130,131,132}","{86,84,36,65,48,28,18,13,31,63}",1489445587,1320,2,5157,2,"{20,13,133,73,193,80,14,129,8,110}","{255,307,498,401,453,354,132,458,163,378}","{0,3,13,7,9,1,2,13,1,5}",t,"{294,320,535,384,682,353,196,428,207,409}",201,"{9,11,6,10,6,3,2,2,6,3}",1,"{1,0,0,1,1,1,0,1,0,0}","{1.5,2,5,0,3.5,0.4,0.66666666666667,1,0.33333333333333,0.25}",
3053885953,"{0,2,2,4,4,8,0,3,0,8}","{6,3,1,4,5,4,3,2,1,2}","{0,1,2,3,4,128,129,130,131,132}","{20,85,65,104,63,41,28,76,86,95}",1489448313,2814,208,5157,2,"{28,50,112,231,425,334,78,261,81,340}","{221,310,319,424,547,589,376,589,340,587}","{1,1,16,9,11,11,1,11,0,7}",f,"{176,305,303,409,598,637,311,514,333,661}",202,"{9,7,6,1,7,10,12,10,11,11}",1,"{0,0,0,0,1,0,0,1,0,0}","{0,0.66666666666667,2,1,0.8,2,0,1.5,0,4}",
3053930276,"{1,5,4,1,9,0,0,5,0,1}","{2,0,1,3,0,5,5,5,2,3}","{0,1,2,3,4,128,129,130,131,132}","{50,86,74,38,48,16,85,17,90,109}",1489452393,2255,89,5157,2,"{31,52,206,155,569,171,57,265,149,332}","{240,387,527,442,732,340,248,485,294,426}","{1,0,7,3,14,1,1,6,2,13}",t,"{319,424,526,435,1004,325,260,603,317,583}",202,"{8,9,9,9,7,3,1,0,2,3}",1,"{0,0,1,0,0,1,1,1,1,1}","{0.5,5,4,0.33333333333333,9,0,0,1,0,0.33333333333333}",
3053886651,"{1,2,1,3,2,5,10,5,1,7}","{4,4,6,3,11,3,1,1,2,2}","{0,1,2,3,4,128,129,130,131,132}","{97,44,37,8,84,90,35,96,86,93}",1489448371,2635,0,5157,2,"{126,264,82,423,12,178,354,198,105,273}","{369,396,260,525,198,431,602,444,384,596}","{2,17,5,6,0,3,8,6,3,11}",f,"{325,457,276,631,167,418,622,429,356,537}",121,"{3,4,3,3,5,13,12,16,11,13}",1,"{0,0,0,0,0,0,0,0,0,0}","{0.25,0.5,0.16666666666667,1,0.18181818181818,1.6666666666667,10,5,0.5,3.5}",
